,epochs,batch,lay1_siz,lay1_act,Drop1,lay2_siz,lay2_act,Drop2,lay3_siz,lay3_act,Drop3,lout_siz,lout_act,loss,optimizer,test_accur,train_accur
38,500,375,128,relu,0.5,64,relu,0.3,32,relu,0.8,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
39,500,375,128,relu,0.5,64,relu,0.5,32,relu,0.3,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
40,500,375,128,relu,0.5,64,relu,0.5,32,relu,0.5,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
41,500,375,128,relu,0.5,64,relu,0.5,32,relu,0.8,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
42,500,375,128,relu,0.5,64,relu,0.8,32,relu,0.3,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
43,500,375,128,relu,0.5,64,relu,0.8,32,relu,0.5,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
44,500,375,128,relu,0.5,64,relu,0.8,32,relu,0.8,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
45,500,375,128,relu,0.8,64,relu,0.3,32,relu,0.3,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
46,500,375,128,relu,0.8,64,relu,0.3,32,relu,0.5,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
47,500,375,128,relu,0.8,64,relu,0.3,32,relu,0.8,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
48,500,375,128,relu,0.8,64,relu,0.5,32,relu,0.3,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
49,500,375,128,relu,0.8,64,relu,0.5,32,relu,0.5,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
50,500,375,128,relu,0.8,64,relu,0.5,32,relu,0.8,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
