,epochs,batch,lay1_siz,lay1_act,Drop1,lay2_siz,lay2_act,Drop2,lay3_siz,lay3_act,Drop3,lout_siz,lout_act,loss,optimizer,test_accur,train_accur
0,350,350,128,relu,0,64,relu,0,32,relu,0,2,relu,categorical_crossentropy,rmsprop,0.5599999976158142,0.6999999996594021
1,350,350,128,relu,0,64,relu,0,32,relu,0,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
2,350,350,128,relu,0,64,relu,0,32,relu,0,2,relu,categorical_crossentropy,Adagrad,0.6,0.6999999993188041
3,350,350,128,relu,0,64,relu,0,32,relu,0,2,relu,categorical_crossentropy,Adadelta,0.5599999976158142,0.6999999996594021
4,350,350,128,relu,0,64,relu,0,32,relu,0,2,relu,categorical_crossentropy,SGD,0.5599999976158142,0.6999999996594021
5,350,350,128,relu,0,64,relu,0,32,relu,0,2,relu,mean_squared_error,rmsprop,0.6000000095367432,0.7142857159887042
6,350,350,128,relu,0,64,relu,0,32,relu,0,2,relu,mean_squared_error,adam,0.6199999976158143,0.7514285707473755
7,350,350,128,relu,0,64,relu,0,32,relu,0,2,relu,mean_squared_error,Adagrad,0.6799999976158142,0.737142859186445
8,350,350,128,relu,0,64,relu,0,32,relu,0,2,relu,mean_squared_error,Adadelta,0.4400000023841858,0.300000000340598
9,350,350,128,relu,0,64,relu,0,32,relu,0,2,relu,mean_squared_error,SGD,0.5599999976158142,0.6999999996594021
10,350,350,128,relu,0,64,relu,0,32,relu,0,2,sigmoid,categorical_crossentropy,rmsprop,0.6000000095367432,0.7200000017029898
11,350,350,128,relu,0,64,relu,0,32,relu,0,2,sigmoid,categorical_crossentropy,adam,0.6000000095367432,0.7171428564616612
12,350,350,128,relu,0,64,relu,0,32,relu,0,2,sigmoid,categorical_crossentropy,Adagrad,0.6799999976158142,0.7342857163293021
13,350,350,128,relu,0,64,relu,0,32,relu,0,2,sigmoid,categorical_crossentropy,Adadelta,0.6799999976158142,0.7142857139451163
